date,time,code,open,high,low,close,volume,amount,adjustflag
2022-04-21,20220421103000000,sh.600000,8.1600,8.1600,8.1100,8.1300,4455084,36287022.0000,3
2022-04-21,20220421110000000,sh.600000,8.1300,8.1500,8.1300,8.1500,2321400,18900942.0000,3
2022-04-21,20220421113000000,sh.600000,8.1500,8.1500,8.0800,8.0800,2379000,19312785.0000,3
2022-04-21,20220421133000000,sh.600000,8.0800,8.1400,8.0700,8.1200,3539898,28696070.0000,3
2022-04-21,20220421140000000,sh.600000,8.1100,8.1200,8.0600,8.0700,1718000,13891332.0000,3
2022-04-21,20220421143000000,sh.600000,8.0800,8.0800,8.0100,8.0500,4345057,34931723.0000,3
2022-04-21,20220421150000000,sh.600000,8.0500,8.0700,7.9900,8.0700,4366609,35041347.0000,3
2022-04-22,20220422100000000,sh.600000,8.0100,8.1100,8.0100,8.0800,5905289,47592246.0000,3
2022-04-22,20220422103000000,sh.600000,8.0900,8.1200,8.0600,8.0600,5953162,48149933.0000,3
2022-04-22,20220422110000000,sh.600000,8.0700,8.0700,8.0300,8.0400,4406800,35467742.0000,3
2022-04-22,20220422113000000,sh.600000,8.0400,8.1000,8.0400,8.0900,2110996,17042881.0000,3
2022-04-22,20220422133000000,sh.600000,8.0900,8.1100,8.0500,8.0600,1816263,14692029.0000,3
2022-04-22,20220422140000000,sh.600000,8.0500,8.1000,8.0500,8.0900,1374619,11113171.0000,3
2022-04-22,20220422143000000,sh.600000,8.0900,8.1100,8.0900,8.0900,2231700,18072719.0000,3
2022-04-22,20220422150000000,sh.600000,8.0900,8.1100,8.0800,8.0900,3813188,30866907.0000,3
2022-04-25,20220425100000000,sh.600000,8.0200,8.1000,8.0000,8.0500,9223959,74334987.0000,3
2022-04-25,20220425103000000,sh.600000,8.0500,8.0800,7.9900,8.0100,6855900,55020295.0000,3
2022-04-25,20220425110000000,sh.600000,8.0100,8.0700,7.9900,8.0000,3461429,27769290.0000,3
2022-04-25,20220425113000000,sh.600000,8.0000,8.0600,8.0000,8.0300,3043205,24436517.0000,3
2022-04-25,20220425133000000,sh.600000,8.0100,8.0800,8.0000,8.0300,4150916,33388349.0000,3
2022-04-25,20220425140000000,sh.600000,8.0200,8.0500,7.9900,8.0000,9886167,79152402.0000,3
2022-04-25,20220425143000000,sh.600000,8.0000,8.0100,7.9000,7.9400,7706444,61319296.0000,3
2022-04-25,20220425150000000,sh.600000,7.9300,7.9400,7.8100,7.8200,8983530,70673008.0000,3
2022-04-26,20220426100000000,sh.600000,7.8400,7.9000,7.7900,7.8500,8681767,68220771.0000,3
2022-04-26,20220426103000000,sh.600000,7.8500,7.9000,7.8300,7.8900,4056892,31917635.0000,3
2022-04-26,20220426110000000,sh.600000,7.8900,7.9500,7.8700,7.9500,2915460,23066398.0000,3
2022-04-26,20220426113000000,sh.600000,7.9400,7.9900,7.9200,7.9800,3066596,24436047.0000,3
2022-04-26,20220426133000000,sh.600000,7.9800,7.9800,7.9300,7.9300,2380579,18952634.0000,3
2022-04-26,20220426140000000,sh.600000,7.9300,7.9600,7.9000,7.9100,3991565,31657562.0000,3
2022-04-26,20220426143000000,sh.600000,7.9200,7.9300,7.8600,7.9000,4850001,38298496.0000,3
2022-04-26,20220426150000000,sh.600000,7.9000,7.9400,7.8500,7.8700,8261399,65144153.0000,3
2022-04-27,20220427100000000,sh.600000,7.9100,7.9300,7.8700,7.9200,7173988,56689981.0000,3
2022-04-27,20220427103000000,sh.600000,7.9200,7.9500,7.9000,7.9200,4122418,32668010.0000,3
2022-04-27,20220427110000000,sh.600000,7.9300,7.9500,7.9000,7.9500,3330004,26391921.0000,3
2022-04-27,20220427113000000,sh.600000,7.9400,7.9400,7.8800,7.9000,2544749,20115190.0000,3
2022-04-27,20220427133000000,sh.600000,7.9100,7.9100,7.8500,7.8700,5121271,40337481.0000,3
2022-04-27,20220427140000000,sh.600000,7.8800,7.8900,7.8300,7.8500,5363140,42118165.0000,3
2022-04-27,20220427143000000,sh.600000,7.8400,7.8500,7.8100,7.8200,4670708,36546605.0000,3
2022-04-27,20220427150000000,sh.600000,7.8200,7.8500,7.8100,7.8300,6362336,49820375.0000,3
2022-04-28,20220428100000000,sh.600000,7.8600,7.9800,7.8600,7.9500,14193085,112616995.0000,3
2022-04-28,20220428103000000,sh.600000,7.9400,7.9700,7.9000,7.9100,5295175,42010161.0000,3
2022-04-28,20220428110000000,sh.600000,7.9100,7.9700,7.8900,7.9600,4804061,38135857.0000,3
2022-04-28,20220428113000000,sh.600000,7.9500,7.9800,7.9400,7.9400,3884782,30927934.0000,3
2022-04-28,20220428133000000,sh.600000,7.9400,7.9500,7.9100,7.9200,3185032,25240503.0000,3
2022-04-28,20220428140000000,sh.600000,7.9100,7.9600,7.9000,7.9300,2905873,23024502.0000,3
2022-04-28,20220428143000000,sh.600000,7.9400,7.9700,7.9300,7.9600,3431441,27295792.0000,3
2022-04-28,20220428150000000,sh.600000,7.9600,7.9900,7.9500,7.9900,7475720,59636416.0000,3
2022-04-29,20220429100000000,sh.600000,7.9800,8.0200,7.9000,7.9000,9960473,79173226.0000,3
2022-04-29,20220429103000000,sh.600000,7.9100,7.9200,7.8800,7.8900,7364250,58159092.0000,3
2022-04-29,20220429110000000,sh.600000,7.8900,7.9000,7.8600,7.8900,3317611,26149741.0000,3
2022-04-29,20220429113000000,sh.600000,7.8900,7.9200,7.8700,7.9000,1981970,15638020.0000,3
2022-04-29,20220429133000000,sh.600000,7.9000,8.0600,7.9000,8.0000,9409955,75303814.0000,3
2022-04-29,20220429140000000,sh.600000,8.0100,8.0100,7.9500,7.9900,2678026,21364859.0000,3
2022-04-29,20220429143000000,sh.600000,7.9900,8.0100,7.9700,7.9900,3105527,24833056.0000,3
2022-04-29,20220429150000000,sh.600000,8.0000,8.0300,7.9800,8.0300,6695034,53624288.0000,3
2022-05-05,20220505100000000,sh.600000,8.0300,8.0800,7.9800,8.0300,8567196,68830876.0000,3
2022-05-05,20220505103000000,sh.600000,8.0300,8.0300,7.9800,7.9800,4235200,33876455.0000,3
2022-05-05,20220505110000000,sh.600000,7.9800,8.0100,7.9800,7.9900,2759971,22050325.0000,3
2022-05-05,20220505113000000,sh.600000,7.9900,8.0000,7.9700,7.9900,3030140,24188952.0000,3
2022-05-05,20220505133000000,sh.600000,8.0000,8.0000,7.9600,7.9800,3031499,24182189.0000,3
2022-05-05,20220505140000000,sh.600000,7.9800,8.0100,7.9800,7.9900,1800335,14384004.0000,3
